partner_iso,sector,period,val_usd,mass_kg,china_share_2024,china_share_2022,trade_value_m_usd,net_mass_mt,post
CHN,8401,202301,56284.0,135.0,0.00046302237343164227,0.0013617467251585975,0.056284,0.135,0
CHN,8401,202304,28045.0,68.0,0.00046302237343164227,0.0013617467251585975,0.028045,0.068,0
CHN,8401,202306,8883.0,2000.0,0.00046302237343164227,0.0013617467251585975,0.008883,2.0,0
CHN,8401,202308,16067.0,105.0,0.00046302237343164227,0.0013617467251585975,0.016067,0.105,0
CHN,8401,202310,12368.0,1000.0,0.00046302237343164227,0.0013617467251585975,0.012368,1.0,0
CHN,8401,202401,3501.0,1000.0,0.00046302237343164227,0.0013617467251585975,0.003501,1.0,0
CHN,8401,202402,42895.0,5000.0,0.00046302237343164227,0.0013617467251585975,0.042895,5.0,0
CHN,8401,202404,2978.0,1000.0,0.00046302237343164227,0.0013617467251585975,0.002978,1.0,0
CHN,8401,202503,6750.0,1163.0,0.00046302237343164227,0.0013617467251585975,0.00675,1.163,0
CHN,8401,202506,2902.0,5000.0,0.00046302237343164227,0.0013617467251585975,0.002902,5.0,1
CHN,8401,202509,15154.0,1069.0,0.00046302237343164227,0.0013617467251585975,0.015154,1.069,1
CHN,8402,202301,1207305.0,200364.0,0.060768734970772086,0.20474568548871813,1.207305,200.364,0
CHN,8402,202302,3464739.0,411300.0,0.060768734970772086,0.20474568548871813,3.464739,411.3,0
CHN,8402,202303,874998.0,104762.0,0.060768734970772086,0.20474568548871813,0.874998,104.762,0
CHN,8402,202304,3412569.0,443148.0,0.060768734970772086,0.20474568548871813,3.412569,443.148,0
CHN,8402,202305,1727666.0,145809.0,0.060768734970772086,0.20474568548871813,1.727666,145.809,0
CHN,8402,202306,815447.0,125387.0,0.060768734970772086,0.20474568548871813,0.815447,125.387,0
CHN,8402,202307,2141274.0,298024.0,0.060768734970772086,0.20474568548871813,2.141274,298.024,0
CHN,8402,202308,1656376.0,178550.0,0.060768734970772086,0.20474568548871813,1.656376,178.55,0
CHN,8402,202309,682319.0,101937.0,0.060768734970772086,0.20474568548871813,0.682319,101.937,0
CHN,8402,202310,2255363.0,449760.0,0.060768734970772086,0.20474568548871813,2.255363,449.76,0
CHN,8402,202311,3125279.0,318306.0,0.060768734970772086,0.20474568548871813,3.125279,318.306,0
CHN,8402,202312,3566291.0,292991.0,0.060768734970772086,0.20474568548871813,3.566291,292.991,0
CHN,8402,202401,1539926.0,223706.0,0.060768734970772086,0.20474568548871813,1.539926,223.706,0
CHN,8402,202402,439022.0,50268.0,0.060768734970772086,0.20474568548871813,0.439022,50.268,0
CHN,8402,202403,2530709.0,223376.0,0.060768734970772086,0.20474568548871813,2.530709,223.376,0
CHN,8402,202404,549540.0,85227.0,0.060768734970772086,0.20474568548871813,0.54954,85.227,0
CHN,8402,202405,454917.0,67238.0,0.060768734970772086,0.20474568548871813,0.454917,67.238,0
CHN,8402,202406,1229403.0,197271.0,0.060768734970772086,0.20474568548871813,1.229403,197.271,0
CHN,8402,202407,1638449.0,176437.0,0.060768734970772086,0.20474568548871813,1.638449,176.437,0
CHN,8402,202408,1910568.0,233974.0,0.060768734970772086,0.20474568548871813,1.910568,233.974,0
CHN,8402,202409,1952654.0,342031.0,0.060768734970772086,0.20474568548871813,1.952654,342.031,0
CHN,8402,202410,2517191.0,343986.0,0.060768734970772086,0.20474568548871813,2.517191,343.986,0
CHN,8402,202411,448873.0,74837.0,0.060768734970772086,0.20474568548871813,0.448873,74.837,0
CHN,8402,202412,603810.0,102055.0,0.060768734970772086,0.20474568548871813,0.60381,102.055,0
CHN,8402,202501,678571.0,142708.0,0.060768734970772086,0.20474568548871813,0.678571,142.708,0
CHN,8402,202502,2795429.0,351153.0,0.060768734970772086,0.20474568548871813,2.795429,351.153,0
CHN,8402,202503,2878847.0,330096.0,0.060768734970772086,0.20474568548871813,2.878847,330.096,0
CHN,8402,202504,1784409.0,184052.0,0.060768734970772086,0.20474568548871813,1.784409,184.052,1
CHN,8402,202505,5896566.0,130262.0,0.060768734970772086,0.20474568548871813,5.896566,130.262,1
CHN,8402,202506,474796.0,129315.0,0.060768734970772086,0.20474568548871813,0.474796,129.315,1
CHN,8402,202507,1730425.0,638412.0,0.060768734970772086,0.20474568548871813,1.730425,638.412,1
CHN,8402,202508,1634586.0,410118.0,0.060768734970772086,0.20474568548871813,1.634586,410.118,1
CHN,8402,202509,560971.0,120240.0,0.060768734970772086,0.20474568548871813,0.560971,120.24,1
CHN,8402,202510,317238.0,72808.0,0.060768734970772086,0.20474568548871813,0.317238,72.808,1
CHN,8402,202511,587491.0,164260.0,0.060768734970772086,0.20474568548871813,0.587491,164.26,1
CHN,8402,202512,758108.0,104238.0,0.060768734970772086,0.20474568548871813,0.758108,104.238,1
CHN,8403,202301,2791962.0,269731.982,0.06280021193893798,0.06911767438285214,2.791962,269.731982,0
CHN,8403,202302,2632070.0,267703.307,0.06280021193893798,0.06911767438285214,2.63207,267.703307,0
CHN,8403,202303,2625768.0,256688.848,0.06280021193893798,0.06911767438285214,2.625768,256.688848,0
CHN,8403,202304,2481518.0,303366.862,0.06280021193893798,0.06911767438285214,2.481518,303.366862,0
CHN,8403,202305,3331276.0,363496.162,0.06280021193893798,0.06911767438285214,3.331276,363.496162,0
CHN,8403,202306,3176596.0,321470.305,0.06280021193893798,0.06911767438285214,3.176596,321.470305,0
CHN,8403,202307,2897847.0,257619.562,0.06280021193893798,0.06911767438285214,2.897847,257.61956200000003,0
CHN,8403,202308,2871630.0,263032.116,0.06280021193893798,0.06911767438285214,2.87163,263.032116,0
CHN,8403,202309,3562869.0,238053.467,0.06280021193893798,0.06911767438285214,3.562869,238.053467,0
CHN,8403,202310,3288121.0,292476.745,0.06280021193893798,0.06911767438285214,3.288121,292.476745,0
CHN,8403,202311,3375935.0,315803.469,0.06280021193893798,0.06911767438285214,3.375935,315.803469,0
CHN,8403,202312,2685593.0,246744.242,0.06280021193893798,0.06911767438285214,2.685593,246.74424199999999,0
CHN,8403,202401,3734796.0,394435.995,0.06280021193893798,0.06911767438285214,3.734796,394.435995,0
CHN,8403,202402,1987252.0,268674.4,0.06280021193893798,0.06911767438285214,1.987252,268.67440000000005,0
CHN,8403,202403,2769674.0,414390.302,0.06280021193893798,0.06911767438285214,2.769674,414.390302,0
CHN,8403,202404,1986579.0,160901.144,0.06280021193893798,0.06911767438285214,1.986579,160.901144,0
