partner_iso,partner_name,partner_id,period,period_id,year,month,cmd_code,post,treated,treat_post,trade_value_m_usd,trade_value_usd,net_mass_kg,net_mass_mt,unit_value_usd_per_kg,density_kg_per_m_usd,log_value,log_density
CHN,China,1,202402,14,2024,2,8517,0,0,0,3354.2453,3354245322.0,5653934.504,5653.9345,593.2586,1685.6056,8.117982076262177,7.429880184743597
CHN,China,1,202403,15,2024,3,8517,0,0,0,2912.8647,2912864726.0,5282361.483,5282.3615,551.4323,1813.4593,7.976892308918846,7.502991515680929
CHN,China,1,202404,16,2024,4,8517,0,0,0,3389.4263,3389426305.0,5754803.274,5754.8033,588.9734,1697.8694,8.128415953014622,7.437129449896768
CHN,China,1,202405,17,2024,5,8517,0,0,0,3772.206,3772206008.0,6580430.835,6580.4308,573.2461,1744.4516,8.23541525519955,7.4641955159025954
CHN,China,1,202406,18,2024,6,8517,0,0,0,3056.6318,3056631778.0,6160697.248,6160.6972,496.1503,2015.5183,8.025068869756165,7.608631662148846
CHN,China,1,202407,19,2024,7,8517,0,0,0,3877.3135,3877313517.0,8066160.28,8066.1603,480.6889,2080.3477,8.262897795892659,7.640290322186647
CHN,China,1,202408,20,2024,8,8517,0,0,0,3579.2953,3579295289.0,7908370.519,7908.3705,452.5958,2209.477,8.182921216443088,7.700511114921683
CHN,China,1,202409,21,2024,9,8517,0,0,0,6215.7353,6215735284.0,10280085.508,10280.0855,604.6385,1653.8808,8.73483930748569,7.410879805272002
CHN,China,1,202410,22,2024,10,8517,0,0,0,7119.6843,7119684277.0,11122998.956,11122.999,640.0868,1562.2882,8.870618663535339,7.353906820422554
CHN,China,1,202411,23,2024,11,8517,0,0,0,5562.317,5562316967.0,9271820.259,9271.8203,599.9164,1666.8989,8.623770027056912,7.418720233041212
CHN,China,1,202412,24,2024,12,8517,0,0,0,4591.3266,4591326613.0,8311493.961,8311.494,552.4069,1810.2598,8.431924280904314,7.501225649871181
CHN,China,1,202501,25,2025,1,8517,0,0,0,4444.5604,4444560421.0,7735034.273,7735.0343,574.6013,1740.3373,8.399436245419516,7.461834223996693
CHN,China,1,202502,26,2025,2,8517,0,0,0,3145.9906,3145990583.0,5546485.094,5546.4851,567.2044,1763.033,8.05388409569259,7.4747909003168465
CHN,China,1,202503,27,2025,3,8517,0,0,0,3667.8484,3667848380.0,6219079.562,6219.0796,589.7735,1695.5661,8.20736050209693,7.435771946355762
CHN,China,1,202504,28,2025,4,8517,1,0,0,1419.6648,1419664844.0,3807240.912,3807.2409,372.8855,2681.7886,7.258176066391596,7.894239238960229
CHN,China,1,202505,29,2025,5,8517,1,0,0,1091.8911,1091891147.0,4527114.376,4527.1144,241.1892,4146.1226,6.995666426057229,8.329928863229046
CHN,China,1,202506,30,2025,6,8517,1,0,0,1245.8115,1245811549.0,4984021.773,4984.0218,249.9611,4000.6227,7.127542403793654,8.294205302985933
CHN,China,1,202507,31,2025,7,8517,1,0,0,1276.8393,1276839298.0,2517025.86,2517.0259,507.281,1971.2942,7.1521430062970355,7.586445560346734
CHN,China,1,202508,32,2025,8,8517,1,0,0,1400.8267,1400826720.0,2610012.194,2610.0122,536.7127,1863.1942,7.244817841326829,7.530047605641284
CHN,China,1,202509,33,2025,9,8517,1,0,0,3989.5972,3989597243.0,5088195.316,5088.1953,784.0889,1275.3657,8.291445552406921,7.150988239995933
CHN,China,1,202510,34,2025,10,8517,1,0,0,3921.6127,3921612668.0,5094268.208,5094.2682,769.8088,1299.0238,8.274258251242696,7.169368338288747
CHN,China,1,202511,35,2025,11,8517,1,0,0,2970.0493,2970049324.0,3943608.114,3943.6081,753.1299,1327.7921,7.996333830985577,7.191272766576141
CHN,China,1,202512,36,2025,12,8517,1,0,0,1931.5662,1931566222.0,2867934.961,2867.935,673.5042,1484.7718,7.566086455399404,7.303016369394681
DEU,Germany,2,202301,1,2023,1,8517,0,0,0,71.2376,71237583.0,315021.675,315.0217,226.1355,4422.1264,4.266020768915177,8.394375945359839
DEU,Germany,2,202302,2,2023,2,8517,0,0,0,53.5368,53536772.0,278175.239,278.1752,192.457,5195.9631,3.9803692679085447,8.555637276148646
DEU,Germany,2,202303,3,2023,3,8517,0,0,0,48.2509,48250927.0,197139.721,197.1397,244.755,4085.7211,3.876414480460774,8.315253515583407
DEU,Germany,2,202304,4,2023,4,8517,0,0,0,45.2025,45202523.0,186516.257,186.5163,242.3517,4126.2376,3.811152395043172,8.325121278012933
DEU,Germany,2,202305,5,2023,5,8517,0,0,0,48.7699,48769928.0,193754.992,193.755,251.7093,3972.8396,3.887113319279014,8.287236382485135
DEU,Germany,2,202306,6,2023,6,8517,0,0,0,49.219,49218970.0,183165.446,183.1654,268.7132,3721.4378,3.8962797278121863,8.221865377969573
DEU,Germany,2,202307,7,2023,7,8517,0,0,0,48.6614,48661398.0,194953.937,194.9539,249.6046,4006.3364,3.8848861080060266,8.295632486739082
DEU,Germany,2,202308,8,2023,8,8517,0,0,0,50.7838,50783795.0,204213.753,204.2138,248.6796,4021.2381,3.9275774060879765,8.299345119270026
DEU,Germany,2,202309,9,2023,9,8517,0,0,0,46.145,46144967.0,179357.512,179.3575,257.2793,3886.8244,3.8317886127175402,8.265347753603292
DEU,Germany,2,202310,10,2023,10,8517,0,0,0,49.6206,49620646.0,185295.689,185.2957,267.7917,3734.2493,3.9044060700889767,8.225302086736411
DEU,Germany,2,202311,11,2023,11,8517,0,0,0,39.3711,39371084.0,148080.435,148.0804,265.8763,3761.1455,3.67303204462121,8.232478844241575
DEU,Germany,2,202312,12,2023,12,8517,0,0,0,39.1209,39120902.0,134045.393,134.0454,291.8482,3426.4394,3.6666568510369486,8.139276925184383
DEU,Germany,2,202401,13,2024,1,8517,0,0,0,30.3467,30346702.0,111575.881,111.5759,271.9826,3676.7056,3.4126877801275857,8.209772412825275
DEU,Germany,2,202402,14,2024,2,8517,0,0,0,38.6724,38672424.0,155281.544,155.2815,249.0471,4015.3066,3.655126167308545,8.29786898710167
DEU,Germany,2,202403,15,2024,3,8517,0,0,0,37.1897,37189695.0,143689.127,143.6891,258.8205,3863.6807,3.61603184121985,8.259375557342414
DEU,Germany,2,202404,16,2024,4,8517,0,0,0,38.0384,38038384.0,135042.149,135.0421,281.6779,3550.1532,3.6385961758041683,8.174746036467893
DEU,Germany,2,202405,17,2024,5,8517,0,0,0,33.1863,33186332.0,133167.717,133.1677,249.207,4012.7317,3.502137140156344,8.297227510319406
DEU,Germany,2,202406,18,2024,6,8517,0,0,0,40.0221,40022126.0,144925.043,144.925,276.1574,3621.1254,3.689431801542006,8.194540140483307
DEU,Germany,2,202407,19,2024,7,8517,0,0,0,35.7922,35792224.0,144546.476,144.5465,247.6174,4038.491,3.5777299925730204,8.303626386329663
DEU,Germany,2,202408,20,2024,8,8517,0,0,0,37.3276,37327631.0,160187.272,160.1873,233.0249,4291.3895,3.619732999405114,8.364365852254014
DEU,Germany,2,202409,21,2024,9,8517,0,0,0,35.7471,35747111.0,161188.069,161.1881,221.7727,4509.1229,3.5764691469685834,8.413857934647545
DEU,Germany,2,202410,22,2024,10,8517,0,0,0,40.0307,40030737.0,147200.759,147.2008,271.9465,3677.1967,3.689646659736425,8.209905974567246
DEU,Germany,2,202411,23,2024,11,8517,0,0,0,45.2684,45268436.0,161426.296,161.4263,280.4279,3565.9819,3.812609217328683,8.179194722695117
DEU,Germany,2,202412,24,2024,12,8517,0,0,0,45.0321,45032068.0,152365.797,152.3658,295.5523,3383.493,3.807375568802358,8.126663886806538
DEU,Germany,2,202501,25,2025,1,8517,0,0,0,35.0252,35025180.0,120779.059,120.7791,289.9938,3448.3474,3.5560678024137626,8.14565038076856
DEU,Germany,2,202502,26,2025,2,8517,0,0,0,42.4893,42489270.0,160878.454,160.8785,264.1079,3786.3287,3.7492522795264347,8.239152147863294
DEU,Germany,2,202503,27,2025,3,8517,0,0,0,41.8091,41809112.0,139798.153,139.7982,299.0677,3343.7255,3.7331140191860577,8.11484088351467
DEU,Germany,2,202504,28,2025,4,8517,1,0,0,45.8855,45885540.0,132508.328,132.5083,346.2842,2887.8039,3.826149163018842,7.968251596045245
DEU,Germany,2,202505,29,2025,5,8517,1,0,0,40.3017,40301721.0,118877.944,118.8779,339.0176,2949.7005,3.696393651685762,7.989458918756082
DEU,Germany,2,202506,30,2025,6,8517,1,0,0,36.2383,36238298.0,183131.874,183.1319,197.8809,5053.5448,3.5901165705822202,8.527845216618392
DEU,Germany,2,202507,31,2025,7,8517,1,0,0,46.8657,46865736.0,146023.031,146.023,320.9476,3115.7762,3.847286064606691,8.044233581561446
DEU,Germany,2,202508,32,2025,8,8517,1,0,0,35.7757,35775651.0,114795.684,114.7957,311.6463,3208.7614,3.5772688919876363,8.073640284964391
DEU,Germany,2,202509,33,2025,9,8517,1,0,0,47.5069,47506864.0,165696.755,165.6968,286.7097,3487.8461,3.8608749636488193,8.157039661349014
DEU,Germany,2,202510,34,2025,10,8517,1,0,0,42.6007,42600693.0,134708.772,134.7088,316.2429,3162.1258,3.751870685065205,8.058999801924253
DEU,Germany,2,202511,35,2025,11,8517,1,0,0,44.4986,44498596.0,146534.412,146.5344,303.6734,3293.0117,3.79545772800314,8.099557835361246
DEU,Germany,2,202512,36,2025,12,8517,1,0,0,64.8794,64879364.0,255700.218,255.7002,253.7321,3941.1619,4.172530161922226,8.279230857295127
IND,India,3,202301,1,2023,1,8517,0,0,0,384.3063,384306346.0,753007.995,753.008,510.3616,1959.3954,5.95143989087905,7.58039123525034
IND,India,3,202302,2,2023,2,8517,0,0,0,204.571,204570979.0,439241.634,439.2416,465.7368,2147.1354,5.320915103491016,7.671889860631784
IND,India,3,202303,3,2023,3,8517,0,0,0,685.1826,685182594.0,903054.408,903.0544,758.739,1317.9763,6.529685372081996,7.183852733110187
IND,India,3,202304,4,2023,4,8517,0,0,0,367.4333,367433260.0,673656.825,673.6568,545.4309,1833.4126,5.906541805581751,7.513934317981424
IND,India,3,202305,5,2023,5,8517,0,0,0,548.5473,548547311.0,841768.331,841.7683,651.6607,1534.541,6.3072735111841185,7.335986592503763
IND,India,3,202306,6,2023,6,8517,0,0,0,600.6016,600601608.0,843878.447,843.8784,711.7158,1405.0553,6.3979318195483454,7.247831940423889
IND,India,3,202307,7,2023,7,8517,0,0,0,511.7004,511700435.0,898775.729,898.7757,569.3305,1756.4491,6.237739297518773,7.471049493204597
IND,India,3,202308,8,2023,8,8517,0,0,0,373.1324,373132416.0,810674.329,810.6743,460.2741,2172.6184,5.921933316446018,7.683688355079133
IND,India,3,202309,9,2023,9,8517,0,0,0,760.6259,760625878.0,1068141.382,1068.1414,712.1022,1404.2927,6.634141646978561,7.247289038641176
IND,India,3,202310,10,2023,10,8517,0,0,0,591.5246,591524628.0,1077844.158,1077.8442,548.8035,1822.146,6.3827032717336865,7.50777020633291
IND,India,3,202311,11,2023,11,8517,0,0,0,598.1726,598172561.0,873105.411,873.1054,685.1092,1459.6212,6.393879341067906,7.28593222898408
IND,India,3,202312,12,2023,12,8517,0,0,0,733.8434,733843367.0,1002926.513,1002.9265,731.702,1366.6765,6.598295654353209,7.220137159120356
IND,India,3,202401,13,2024,1,8517,0,0,0,780.9717,780971712.0,1209207.497,1209.2075,645.8542,1548.3372,6.660538913587771,7.344936859885645
IND,India,3,202402,14,2024,2,8517,0,0,0,953.3649,953364855.0,1563160.615,1563.1606,609.8956,1639.6247,6.859997726485714,7.402222653166627
IND,India,3,202403,15,2024,3,8517,0,0,0,833.6001,833600066.0,1011045.145,1011.0451,824.4934,1212.8659,6.725753790960708,7.100741350483142
IND,India,3,202404,16,2024,4,8517,0,0,0,851.9309,851930909.0,1112851.61,1112.8516,765.5386,1306.2698,6.747505420253881,7.174930873492978
IND,India,3,202405,17,2024,5,8517,0,0,0,829.6013,829601315.0,958389.304,958.3893,865.6204,1155.2408,6.720945223934341,7.052064086074433
IND,India,3,202406,18,2024,6,8517,0,0,0,785.1843,785184314.0,921883.729,921.8837,851.7173,1174.0985,6.665918467296649,7.068255898061038
IND,India,3,202407,19,2024,7,8517,0,0,0,661.6072,661607234.0,983187.954,983.188,672.9204,1486.0599,6.494672026358851,7.303883534021151
IND,India,3,202408,20,2024,8,8517,0,0,0,512.788,512788042.0,949822.463,949.8225,539.8778,1852.2712,6.2398625043966165,7.524167840770476
IND,India,3,202409,21,2024,9,8517,0,0,0,384.3254,384325386.0,596504.705,596.5047,644.2956,1552.0824,5.951489589583915,7.347352792117297
IND,India,3,202410,22,2024,10,8517,0,0,0,689.6332,689633215.0,1345638.695,1345.6387,512.4951,1951.2383,6.536159862042114,7.576219475655355
IND,India,3,202411,23,2024,11,8517,0,0,0,638.2566,638256595.0,1064060.706,1064.0607,599.831,1667.1362,6.458740396843686,7.4188625830725
IND,India,3,202412,24,2024,12,8517,0,0,0,1082.0497,1082049698.0,1409177.429,1409.1774,767.8591,1302.3223,6.98661239180808,7.171904334377692
IND,India,3,202501,25,2025,1,8517,0,0,0,1503.0171,1503017056.0,1906959.191,1906.9592,788.1747,1268.7542,7.315229766933763,7.145790753129446
IND,India,3,202502,26,2025,2,8517,0,0,0,1838.1193,1838119350.0,2236492.122,2236.4921,821.8761,1216.7285,7.516498208317392,7.103920978534846
IND,India,3,202503,27,2025,3,8517,0,0,0,2452.8648,2452864765.0,2950432.945,2950.4329,831.3576,1202.8518,7.805011926555272,7.092450516365968
IND,India,3,202504,28,2025,4,8517,1,0,0,1939.8092,1939809220.0,2517386.85,2517.3868,770.5646,1297.7497,7.570344896705181,7.16838704353798
IND,India,3,202505,29,2025,5,8517,1,0,0,2408.9601,2408960142.0,3375993.581,3375.9936,713.5559,1401.4319,7.78695043958854,7.245249778628696
IND,India,3,202506,30,2025,6,8517,1,0,0,2489.6355,2489635499.0,3783437.307,3783.4373,658.0354,1519.6752,7.819891593201175,7.326251906796072
IND,India,3,202507,31,2025,7,8517,1,0,0,1905.3664,1905366421.0,2688345.255,2688.3453,708.7506,1410.9335,7.552429605024618,7.2520068210469235
IND,India,3,202508,32,2025,8,8517,1,0,0,1128.6887,1128688707.0,1512015.146,1512.0151,746.4798,1339.6211,7.02881179539379,7.200142091766443
IND,India,3,202509,33,2025,9,8517,1,0,0,1002.493,1002493035.0,1455863.295,1455.8633,688.5901,1452.2429,6.9102451766127055,7.2808644678952925
IND,India,3,202510,34,2025,10,8517,1,0,0,2254.9246,2254924573.0,3152341.359,3152.3414,715.3174,1397.9808,7.7208718145706605,7.242784188793865
IND,India,3,202511,35,2025,11,8517,1,0,0,2705.0177,2705017719.0,3141115.966,3141.116,861.1646,1161.2183,7.9028637346972515,7.057224991585371
IND,India,3,202512,36,2025,12,8517,1,0,0,3388.3704,3388370373.0,4219511.663,4219.5117,803.0243,1245.2923,8.12810437683278,7.12712556045897
JPN,Japan,4,202301,1,2023,1,8517,0,0,0,63.2927,63292689.0,83393.445,83.3934,758.9648,1317.5839,4.147769998645163,7.183554959602376
JPN,Japan,4,202302,2,2023,2,8517,0,0,0,85.9925,85992468.0,345669.131,345.6691,248.771,4019.7591,4.45426008314823,8.298977254444335
JPN,Japan,4,202303,3,2023,3,8517,0,0,0,114.0563,114056344.0,453915.683,453.9157,251.2721,3979.7511,4.736692186135077,8.288974558634479
JPN,Japan,4,202304,4,2023,4,8517,0,0,0,41.226,41225995.0,149845.585,149.8456,275.1232,3634.735,3.719069125276994,8.198291484971739
JPN,Japan,4,202305,5,2023,5,8517,0,0,0,38.7688,38768756.0,130061.828,130.0618,298.0794,3354.8066,3.657615799436992,8.118149402438714
JPN,Japan,4,202306,6,2023,6,8517,0,0,0,51.5604,51560428.0,110921.348,110.9213,464.8377,2151.2895,3.9427539359927946,7.673822708774961
JPN,Japan,4,202307,7,2023,7,8517,0,0,0,38.3465,38346494.0,103905.579,103.9056,369.0513,2709.6496,3.646663258980856,7.904574606620935
JPN,Japan,4,202308,8,2023,8,8517,0,0,0,53.5029,53502948.0,105690.707,105.6907,506.2219,1975.4202,3.9797358580403666,7.588536414198802
JPN,Japan,4,202309,9,2023,9,8517,0,0,0,54.1377,54137717.0,122433.504,122.4335,442.1806,2261.5202,3.99153080083085,7.723792521002703
JPN,Japan,4,202310,10,2023,10,8517,0,0,0,52.7242,52724240.0,121746.367,121.7464,433.0662,2309.1174,3.9650745531819216,7.744620652583395
JPN,Japan,4,202311,11,2023,11,8517,0,0,0,45.0826,45082619.0,104565.421,104.5654,431.1427,2319.4186,3.8084963627524333,7.749071829805788
JPN,Japan,4,202312,12,2023,12,8517,0,0,0,46.0886,46088610.0,1428142.286,1428.1423,32.2717,30986.888,3.8305656309185054,10.341319426249262
JPN,Japan,4,202401,13,2024,1,8517,0,0,0,41.7501,41750125.0,78242.488,78.2425,533.5991,1874.0671,3.7317018465035767,7.53586626792043
JPN,Japan,4,202402,14,2024,2,8517,0,0,0,46.4578,46457823.0,111676.962,111.677,416.0019,2403.8366,3.838544373659752,7.784821323295113
JPN,Japan,4,202403,15,2024,3,8517,0,0,0,59.5322,59532200.0,140025.933,140.0259,425.1512,2352.1041,4.086517342638997,7.763065568243145
JPN,Japan,4,202404,16,2024,4,8517,0,0,0,41.2177,41217736.0,123489.162,123.4892,333.7761,2996.0226,3.718867775749303,8.005040887999847
JPN,Japan,4,202405,17,2024,5,8517,0,0,0,44.5772,44577240.0,122328.123,122.3281,364.4071,2744.1859,3.797222517550915,7.917239734364408
JPN,Japan,4,202406,18,2024,6,8517,0,0,0,35.8281,35828125.0,82473.187,82.4732,434.4215,2301.9135,3.5787325017221496,7.74149601255498
JPN,Japan,4,202407,19,2024,7,8517,0,0,0,67.3275,67327458.0,176128.583,176.1286,382.2631,2615.9977,4.209568771316817,7.8694008333718095
JPN,Japan,4,202408,20,2024,8,8517,0,0,0,38.6658,38665834.0,102894.773,102.8948,375.7804,2661.1314,3.654955488393959,7.886506649690896
JPN,Japan,4,202409,21,2024,9,8517,0,0,0,62.3014,62301448.0,120958.001,120.958,515.0668,1941.4973,4.13198389745103,7.5712147584934435
JPN,Japan,4,202410,22,2024,10,8517,0,0,0,59.0985,59098453.0,120661.298,120.6613,489.788,2041.6981,4.079205543379297,7.621537142544669
JPN,Japan,4,202411,23,2024,11,8517,0,0,0,45.7775,45777541.0,112217.936,112.2179,407.9343,2451.3776,3.823792704033732,7.80440543122968
JPN,Japan,4,202412,24,2024,12,8517,0,0,0,58.326,58326048.0,109848.118,109.8481,530.9699,1883.3474,4.066047963066987,7.540806004471032
JPN,Japan,4,202501,25,2025,1,8517,0,0,0,46.6937,46693748.0,97483.045,97.483,478.9935,2087.713,3.84360925193428,7.643824487447843
JPN,Japan,4,202502,26,2025,2,8517,0,0,0,50.5725,50572537.0,119184.146,119.1841,424.3227,2356.6987,3.9234079502947097,7.765017062775108
JPN,Japan,4,202503,27,2025,3,8517,0,0,0,55.5456,55545586.0,124028.242,124.0282,447.8463,2232.9085,4.017204305027734,7.711060274735494
JPN,Japan,4,202504,28,2025,4,8517,1,0,0,40.4084,40408368.0,93232.109,93.2321,433.4169,2307.2457,3.6990376841466515,7.743809754453409
JPN,Japan,4,202505,29,2025,5,8517,1,0,0,33.4954,33495447.0,100881.11,100.8811,332.0289,3011.79,3.5114081159698323,8.010289865373617
JPN,Japan,4,202506,30,2025,6,8517,1,0,0,48.5547,48554745.0,157489.64,157.4896,308.3044,3243.5509,3.8826909974668347,8.084423965454288
JPN,Japan,4,202507,31,2025,7,8517,1,0,0,62.2444,62244399.0,166930.412,166.9304,372.8763,2681.8543,4.13106857145883,7.894263737235461
JPN,Japan,4,202508,32,2025,8,8517,1,0,0,35.8103,35810251.0,102858.038,102.858,348.1522,2872.3032,3.578235561523421,7.962869495626526
JPN,Japan,4,202509,33,2025,9,8517,1,0,0,56.3414,56341355.0,158181.883,158.1819,356.1808,2807.5604,4.031429611269773,7.940071200183495
JPN,Japan,4,202510,34,2025,10,8517,1,0,0,37.502,37501987.0,106422.604,106.4226,352.3874,2837.7848,3.6243942648875267,7.950779026796975
JPN,Japan,4,202511,35,2025,11,8517,1,0,0,56.3854,56385351.0,209289.563,209.2896,269.4131,3711.7687,4.032210259744394,8.21926378054224
JPN,Japan,4,202512,36,2025,12,8517,1,0,0,74.4939,74493854.0,237164.975,237.165,314.1014,3183.6832,4.3107172428385985,8.065794044526633
KOR,South Korea,5,202301,1,2023,1,8517,0,0,0,161.2774,161277428.0,275001.782,275.0018,586.4596,1705.1477,5.083125863721312,7.441407013531649
KOR,South Korea,5,202302,2,2023,2,8517,0,0,0,101.6304,101630404.0,183972.462,183.9725,552.4218,1810.2109,4.621342702987644,7.501198636809037
KOR,South Korea,5,202303,3,2023,3,8517,0,0,0,111.3028,111302846.0,210030.206,210.0302,529.9373,1887.0164,4.712254415197766,7.542752236374769
KOR,South Korea,5,202304,4,2023,4,8517,0,0,0,158.5987,158598667.0,279756.154,279.7562,566.9175,1763.9246,5.066377112445843,7.475296491889024
KOR,South Korea,5,202305,5,2023,5,8517,0,0,0,127.8155,127815493.0,236673.142,236.6731,540.0507,1851.6779,4.850587817844301,7.523847479993879
KOR,South Korea,5,202306,6,2023,6,8517,0,0,0,97.9356,97935572.0,199449.925,199.4499,491.0284,2036.5416,4.584310119800422,7.619008354083371
KOR,South Korea,5,202307,7,2023,7,8517,0,0,0,129.4752,129475165.0,254000.114,254.0001,509.7445,1961.7665,4.863489357008511,7.581600621829864
KOR,South Korea,5,202308,8,2023,8,8517,0,0,0,79.2088,79208798.0,155205.927,155.2059,510.3465,1959.4531,4.372087403759109,7.580420682676033
KOR,South Korea,5,202309,9,2023,9,8517,0,0,0,207.4359,207435861.0,298472.144,298.4721,694.9924,1438.8645,5.334822376283831,7.271609539840865
KOR,South Korea,5,202310,10,2023,10,8517,0,0,0,155.7048,155704767.0,245742.221,245.7422,633.6102,1578.2572,5.047961906881142,7.364076479252219
KOR,South Korea,5,202311,11,2023,11,8517,0,0,0,119.98,119979978.0,210528.406,210.5284,569.8992,1754.6958,4.787325062224947,7.470050787542674
KOR,South Korea,5,202312,12,2023,12,8517,0,0,0,30.6552,30655232.0,128572.068,128.5721,238.4284,4194.1357,3.42280230541454,8.341442566684734
KOR,South Korea,5,202401,13,2024,1,8517,0,0,0,34.2858,34285757.0,133448.854,133.4489,256.9206,3892.2485,3.534731274283553,8.266742290188503
KOR,South Korea,5,202402,14,2024,2,8517,0,0,0,30.1906,30190579.0,105300.831,105.3008,286.7079,3487.8681,3.407530617651766,8.157045968946878
KOR,South Korea,5,202403,15,2024,3,8517,0,0,0,43.1773,43177315.0,158218.563,158.2186,272.8966,3664.3922,3.765314894183058,8.206417761550206
KOR,South Korea,5,202404,16,2024,4,8517,0,0,0,33.7728,33772828.0,126405.519,126.4055,267.1784,3742.8202,3.5196557447891568,8.227594670416156
KOR,South Korea,5,202405,17,2024,5,8517,0,0,0,31.6194,31619446.0,123745.373,123.7454,255.5202,3913.5902,3.4537708562692235,8.27221044140141
KOR,South Korea,5,202406,18,2024,6,8517,0,0,0,34.6368,34636776.0,132616.969,132.617,261.1791,3828.7881,3.5449167006741678,8.250303609125877
KOR,South Korea,5,202407,19,2024,7,8517,0,0,0,35.8207,35820703.0,149615.455,149.6155,239.4185,4176.7876,3.578525938596841,8.337297713312008
KOR,South Korea,5,202408,20,2024,8,8517,0,0,0,29.7916,29791571.0,140897.743,140.8977,211.4411,4729.4453,3.3942264745813207,8.461563201881722
KOR,South Korea,5,202409,21,2024,9,8517,0,0,0,37.8494,37849357.0,143444.646,143.4446,263.8604,3789.879,3.633615127710257,8.24008937144545
KOR,South Korea,5,202410,22,2024,10,8517,0,0,0,33.6888,33688767.0,93212.056,93.2121,361.4207,2766.8559,3.517165437906089,7.925466900367932
KOR,South Korea,5,202411,23,2024,11,8517,0,0,0,36.511,36511023.0,126179.536,126.1795,289.3577,3455.9321,3.597613585048684,8.1478474827402
KOR,South Korea,5,202412,24,2024,12,8517,0,0,0,27.7677,27767713.0,111673.208,111.6732,248.6515,4021.6946,3.323873474698185,8.299458635077634
KOR,South Korea,5,202501,25,2025,1,8517,0,0,0,38.65,38649984.0,138052.64,138.0526,279.9656,3571.8665,3.654546775033431,8.180843567277806
KOR,South Korea,5,202502,26,2025,2,8517,0,0,0,32.6133,32613282.0,105383.363,105.3834,309.4728,3231.3002,3.484720180633425,8.080639873919425
KOR,South Korea,5,202503,27,2025,3,8517,0,0,0,34.3261,34326062.0,114420.526,114.4205,299.9992,3333.3389,3.5359059977538085,8.111729753306678
KOR,South Korea,5,202504,28,2025,4,8517,1,0,0,49.3361,49336130.0,163059.777,163.0598,302.5647,3305.0804,3.8986560646046016,8.103216078767504
KOR,South Korea,5,202505,29,2025,5,8517,1,0,0,62.9721,62972055.0,241293.615,241.2936,260.9769,3831.7543,4.14269177115849,8.251078019081037
KOR,South Korea,5,202506,30,2025,6,8517,1,0,0,51.1541,51154075.0,233492.516,233.4925,219.0823,4564.4927,3.9348426455880197,8.42606265870492
KOR,South Korea,5,202507,31,2025,7,8517,1,0,0,37.5518,37551821.0,101453.48,101.4535,370.1383,2701.6942,3.625721313146466,7.901634336689712
KOR,South Korea,5,202508,32,2025,8,8517,1,0,0,39.9035,39903463.0,113766.35,113.7664,350.7493,2851.0369,3.6864640393469505,7.9554380316559925
KOR,South Korea,5,202509,33,2025,9,8517,1,0,0,30.2665,30266453.0,84350.782,84.3508,358.8165,2786.9355,3.410041490316047,7.932697884049448
KOR,South Korea,5,202510,34,2025,10,8517,1,0,0,30.3178,30317767.0,86998.396,86.9984,348.4865,2869.5485,3.411734998774858,7.961909979304867
