partner_iso,period,val_phones_m,val_phones_usd,mass_phones_kg,val_parts_m,val_parts_usd,mass_parts_kg,partner_id,period_id,post,treated,treat_post,log_parts_to_phones,parts_share
DEU,202304,0.2345,234479.0,261.126,4.9498,4949760.0,0.0,2,4,0,0,0,3.0496468628197326,0.9547672781281948
DEU,202305,0.2877,287670.0,320.362,6.1733,6173319.0,0.0,2,5,0,0,0,3.066070549391946,0.9554712892741062
DEU,202306,0.3619,361864.0,402.987,4.986,4985990.0,0.0,2,6,0,0,0,2.6230213335138064,0.932328577572505
DEU,202307,0.1748,174822.0,173.32,6.8772,6877233.0,0.0,2,7,0,0,0,3.672324408124257,0.9752127056154282
DEU,202308,0.135,134951.0,133.791,7.1419,7141892.0,0.0,2,8,0,0,0,3.9684593479377384,0.981448144127307
DEU,202309,0.3502,350151.0,347.142,4.8742,4874228.0,0.0,2,9,0,0,0,2.6332068475497947,0.9329683791440165
DEU,202310,0.0894,89407.0,88.639,5.1009,5100866.0,0.0,2,10,0,0,0,4.044051591552082,0.9827755621062365
DEU,202311,0.0858,85765.0,85.028,5.2332,5233152.0,0.0,2,11,0,0,0,4.110759218142804,0.9838691483361535
DEU,202312,0.048,47957.0,47.616,7.6591,7659126.0,0.0,2,12,0,0,0,5.072448751451263,0.9937719764892112
DEU,202401,0.1004,100450.0,99.737,3.522,3522027.0,0.0,2,13,0,0,0,3.5576220817985225,0.9722835689045937
DEU,202402,0.1409,140916.0,139.915,4.2076,4207605.0,0.0,2,14,0,0,0,3.3965972739604844,0.9675980223065425
DEU,202403,0.0912,91217.0,90.569,5.4639,5463945.0,0.0,2,15,0,0,0,4.092863202392322,0.9835826537776098
DEU,202404,0.1238,123764.0,122.885,4.6605,4660489.0,0.0,2,16,0,0,0,3.6282106572507162,0.9741236962565056
DEU,202405,0.0544,54445.0,54.058,4.7657,4765730.0,0.0,2,17,0,0,0,4.472835555949062,0.9887139270969482
DEU,202406,0.1373,137298.0,136.323,3.867,3866982.0,0.0,2,18,0,0,0,3.3380659788333715,0.965711859750768
DEU,202407,0.1212,121195.0,138.612,3.6377,3637676.0,0.0,2,19,0,0,0,3.401664819150904,0.9677565245151507
DEU,202408,0.2029,202900.0,232.059,3.4036,3403618.0,0.0,2,20,0,0,0,2.819875727143633,0.943740468598364
DEU,202409,0.0923,92297.0,105.561,3.8135,3813523.0,0.0,2,21,0,0,0,3.7212585400954867,0.9763684776486251
DEU,202410,0.2171,217081.0,248.278,3.7961,3796141.0,0.0,2,22,0,0,0,2.8613714260180823,0.9459035183893152
DEU,202411,0.0661,66133.0,75.637,8.2906,8290605.0,0.0,2,23,0,0,0,4.831708875009714,0.9920901791376978
DEU,202412,0.217,216972.0,248.153,1.8206,1820581.0,0.0,2,24,0,0,0,2.1270240425307287,0.8935021594032195
DEU,202501,0.0618,61760.0,70.636,1.1833,1183260.0,0.0,2,25,0,0,0,2.952159059926868,0.9503654324953819
DEU,202502,0.2138,213799.0,244.524,1.8205,1820500.0,0.0,2,26,0,0,0,2.1418254690245435,0.8949024234380376
DEU,202503,0.1169,116874.0,133.67,2.589,2589029.0,0.0,2,27,0,0,0,3.0977081112735148,0.9567981078384272
DEU,202504,0.2204,220370.0,252.039,2.0254,2025386.0,0.0,2,28,1,0,0,2.218078413619425,0.9018612521150592
DEU,202505,0.0442,44233.0,50.59,2.3326,2332567.0,0.0,2,29,1,0,0,3.9660140151732968,0.981403567822282
DEU,202506,0.1097,109728.0,125.497,2.2124,2212434.0,0.0,2,30,1,0,0,3.0040838108393384,0.9527582791438783
DEU,202507,0.122,122046.0,139.585,4.8388,4838786.0,0.0,2,31,1,0,0,3.6804009903524366,0.9754071923883245
DEU,202508,0.0352,35172.0,34.849,1.6231,1623074.0,0.0,2,32,1,0,0,3.8310470973069735,0.9787734426822651
DEU,202509,0.1984,198417.0,196.592,2.6127,2612733.0,0.0,2,33,1,0,0,2.577854253516031,0.929422645939312
DEU,202510,0.0455,45542.0,45.123,1.5191,1519112.0,0.0,2,34,1,0,0,3.5081610072567124,0.9709190847500958
DEU,202511,0.1474,147362.0,146.007,2.4301,2430100.0,0.0,2,35,1,0,0,2.8025377079960014,0.9428128031037827
DEU,202512,0.1313,131332.0,130.124,13.1633,13163255.0,0.0,2,36,1,0,0,4.607703152013974,0.9901238096670829
IND,202301,296.0748,296074776.0,329721.676,11.6504,11650374.0,0.0,3,1,0,0,0,-3.2352716109165796,0.03785975279242649
IND,202302,148.1781,148178063.0,165017.5,7.0432,7043250.0,0.0,3,2,0,0,0,-3.046352316313082,0.045375215901425896
IND,202303,633.9399,633939865.0,705982.852,5.5818,5581792.0,0.0,3,3,0,0,0,-4.732442849970788,0.008728085380058254
IND,202304,290.2708,290270802.0,323258.119,6.4292,6429214.0,0.0,3,4,0,0,0,-3.8099641666575623,0.02166902595214021
IND,202305,492.4806,492480563.0,548447.655,5.4956,5495625.0,0.0,3,5,0,0,0,-4.495507296905703,0.011035868782483981
IND,202306,532.6759,532675942.0,593210.967,5.828,5827985.0,0.0,3,6,0,0,0,-4.515239283342626,0.010822577143823845
IND,202307,372.4941,372494098.0,369292.744,4.3468,4346813.0,0.0,3,7,0,0,0,-4.450781256561443,0.011534841361433963
IND,202308,226.2604,226260379.0,224315.812,4.4007,4400666.0,0.0,3,8,0,0,0,-3.939922929194731,0.01907863961456873
IND,202309,613.1221,613122132.0,607852.73,4.277,4277048.0,0.0,3,9,0,0,0,-4.965312271196188,0.006927447740043676
IND,202310,315.5962,315596223.0,312883.871,5.1685,5168531.0,0.0,3,10,0,0,0,-4.111881037315161,0.01611305732831574
IND,202311,473.687,473686976.0,469615.932,4.601,4601049.0,0.0,3,11,0,0,0,-4.634273094850134,0.009619727026394138
IND,202312,617.6468,617646773.0,613260.696,4.8157,4815666.0,0.0,3,12,0,0,0,-4.854035359334225,0.007736530313071068
IND,202401,478.9675,478967474.0,475566.197,4.1045,4104504.0,0.0,3,13,0,0,0,-4.759548812615989,0.008496663023317436
IND,202402,713.0112,713011208.0,707947.923,4.1731,4173146.0,0.0,3,14,0,0,0,-5.140837963668158,0.005818727487481251
IND,202403,752.5584,752558416.0,747214.295,5.5315,5531479.0,0.0,3,15,0,0,0,-4.913019575092282,0.0072966280120603105
IND,202404,662.3432,662343206.0,657639.728,22.5577,22557698.0,0.0,3,16,0,0,0,-3.379707379524184,0.03293571376530532
IND,202405,712.9795,712979474.0,707916.414,9.1738,9173806.0,0.0,3,17,0,0,0,-4.353101073051685,0.01270339691032361
IND,202406,627.5924,627592371.0,623135.668,7.3463,7346336.0,0.0,3,18,0,0,0,-4.447694126046394,0.011570093301920327
IND,202407,503.6904,503690363.0,576075.884,7.0925,7092469.0,0.0,3,19,0,0,0,-4.262923905905442,0.013885547069018952
IND,202408,367.4525,367452527.0,420259.26,8.6968,8696844.0,0.0,3,20,0,0,0,-3.743638916690837,0.02312060663146256
IND,202409,294.3378,294337765.0,336637.15,7.0948,7094836.0,0.0,3,21,0,0,0,-3.7253659660093477,0.0235369366153495
